GeneName	EarlyExp	EstExp	LateExp	minEarly_gb	maxEarly_gb	meanEarly_gb	minEst_gb	maxEst_gb	meanEst_gb	minLate_gb	maxLate_gb	meanLate_gb	minEarly_prom	maxEarly_prom	meanEarly_prom	minEst_prom	maxEst_prom	meanEst_prom	minLate_prom	maxLate_prom	meanLate_prom	Strand	NoClExp	Cluster(exp)	Color	EarlyP-val	EstP-val	LateP-val
Dchs1	-0.2489	0.8405	2.1345	0.470847	0.666667	0.5511416	0.419355	0.515241	0.4670352	0.1875	0.53512	0.414935	0.666667	0.740741	0.703704	0.454545	0.677419	0.565982	0.1875	0.371429	0.2794645	-	10	EarlyNEstNLateUp	Petrol	0.3986	0.0017	0.00005
Rac2	-0.0665	0.8127	2.5134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	0.8688	0.0011	0.00005
Lbh	0.763	1.5013	0.328	0.461538	0.596491	0.533779	0	0.5	0.2994048	0.214286	0.623188	0.4690158	0.461538	0.517241	0.4977406667	0.408854	0.5	0.469618	0.214286	0.597156	0.4009153333	+	12	EarlyNEstUpLateN	LightBlue	0.00015	0.00005	0.0434
Fabp7	0.4151	1.4423	2.8179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.3314	0.00025	0.00005
Ch25h	2.7988	3.0797	3.3025	0.384615	0.725	0.5218323333	0.319527	0.466667	0.3899186667	0.314286	0.371069	0.3447306667	0.725	0.725	0.725	0.466667	0.466667	0.466667	0.348837	0.348837	0.348837	-	16	AllVUp	DarkPurple	0.00005	0.00005	0.00005
Spn	0.3115	0.686	1.7951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	1	0.06085	0.00065
Oas3	2.7269	2.6239	0.7557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	17	EarlyUpEstablishedUpLateN	Purple	1	0.00005	1
Rsad2	2.3886	2.8115	1.6061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	0.0009	0.00005	0.0005
Mx2	1.5278	2.3197	1.0338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	0.00215	0.00005	0.0073
Npy6r	-0.5262	-1.8166	-1.3321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	1	0.00355	0.00575
Ccrl2	0.6589	1.8679	1.6778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	12	EarlyNEstUpLateN	LightBlue	1	0.0027	0.00325
Oasl1	1.115	1.8405	1.1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0393	0.00125	0.02165
Rhbdl2	1.4101	1.9003	2.6602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.03205	0.001	0.00005
Nr4a3	-0.9512	0.9609	-2.006	0.454635	0.478564	0.4653536667	0.411379	0.510678	0.477394	0.483092	0.517935	0.502582	0.333333	0.545455	0.462265	0	0.470588	0.3238492	0.325	0.571429	0.4466402	+	7	EarlyLowEstNLateLow	LightGreen	1	0.0198	0.0003
Ptpn6	0.4602	0.9654	1.8672	0.577236	0.577236	0.577236	0.425926	0.425926	0.425926	0.507042	0.507042	0.507042	0.519595	0.598784	0.56452875	0.403226	0.857143	0.54068775	0.497567	0.601124	0.52643325	-	15	AllMildUp	SeaBlue	0.2566	0.0006	0.00005
Cd200r1	0.3107	1.628	0.3398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	0.51605	0.00015	0.4781
Ube2ql1	-1.6989	-2.403	-1.8076	0.521739	0.56	0.5408695	0.509434	0.636364	0.572899	0.307692	0.550388	0.42904	0.473684	0.56	0.516842	0.636364	0.727273	0.6818185	0.307692	0.459459	0.3835755	-	3	EarlyVLowEstVLowLateLow	Orange	0.00175	0.00025	0.00315
Isg15	1.3741	2.4682	0.8991	0.555882	0.555882	0.555882	0.435768	0.435768	0.435768	0.53473	0.53473	0.53473	0.4	0.563636	0.481212	0.25	0.477612	0.3459856667	0.417582	0.714286	0.568956	-	12	EarlyNEstUpLateN	LightBlue	0.00035	0.00005	0.0002
Dlk1	-1.8898	-2.3705	-1.4367	0.470927	0.58	0.5101303333	0.4	0.515152	0.4810996667	0.481306	0.560748	0.5201995	0.534759	0.58	0.5573795	0.4	0.515152	0.457576	0.515625	0.555556	0.5355905	+	3	EarlyVLowEstVLowLateLow	Orange	0.00005	0.00005	0.00005
Ctla2a	2.8664	1.3579	2.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	0.00005	0.0023	0.0001
Btk	0.333	0.923	2.0933	0.492063	0.492063	0.492063	0.533088	0.533088	0.533088	0.50519	0.50519	0.50519	0.515957	0.587571	0.54902	0.432258	0.590164	0.5082373333	0.49518	0.560847	0.5286756667	-	10	EarlyNEstNLateUp	Petrol	0.53105	0.0088	0.0005
Sdk1	0.8744	1.4778	1.8316	0.428571	0.491525	0.4647062	0.333333	0.592593	0.493584	0.303571	0.572917	0.4514256	0.388889	0.428571	0.40873	0.333333	0.575758	0.4545455	0.37037	0.411765	0.3910675	+	15	AllMildUp	SeaBlue	0.00125	0.00005	0.00005
Hpgd	-0.9601	-1.5136	0.191	0.575	0.6	0.5875	0.40678	1	0.70339	0.333333	0.57377	0.4535515	0.566038	0.6	0.583019	0.38	1	0.69	0.333333	0.453333	0.393333	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.00005	0.00005	0.2835
Nfasc	-0.2624	-0.2181	1.9141	0.571429	0.666667	0.619048	0.534884	0.6	0.567442	0.461538	0.833333	0.6474355	0.37037	0.666667	0.5185185	0.53125	0.6	0.565625	0.44	0.833333	0.6366665	-	10	EarlyNEstNLateUp	Petrol	1	0.5906	0.00005
Clec12a	0.1089	0.3768	1.9607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.84135	0.12945	0.00115
Mpeg1	0.9404	2.2011	1.719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0245	0.00005	0.00005
Fgf9	1.5128	2.7258	0.7001	0.282609	0.608696	0.4804508	0.328947	0.72	0.5413046	0.230769	0.705882	0.5227468	0.0833333	0.621622	0.4181747167	0.455013	0.72	0.5847245	0	0.574074	0.2252353333	+	12	EarlyNEstUpLateN	LightBlue	0.00035	0.00005	0.03445
Sorcs1	1.1445	2.2609	2.7933	0.470588	0.644068	0.51647325	0.166667	0.607843	0.485082625	0.460317	0.678571	0.521551875	0.470588	0.616438	0.543513	0.166667	0.407407	0.287037	0.363636	0.678571	0.5211035	-	15	AllMildUp	SeaBlue	0.0211	0.0002	1
Mx1	1.4038	2.8692	1.4195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	0.0111	0.00135	0.00795
Fgf18	-1.4309	-1.152	-1.901	0.380952	0.573913	0.464393	0.319328	0.470588	0.4283794	0.294118	0.612676	0.453748	0.380952	0.452381	0.4166665	0.428571	0.75	0.5892855	0.294118	0.470588	0.382353	-	6	AllLow	VeryLightGreen	0.0122	0.0176	0.00005
Cd36	0.6437	2.6936	2.7346	0.475316	0.488928	0.4821316667	0.523494	0.541304	0.5307196667	0.484603	0.531948	0.504848	0	0	0	0	0	0	0	0	0	-	14	EarlyNEstUpLateUp	DarkBlue	1	0.00005	0.00005
Megf6	-2.2502	-2.0895	-1.3647	0.333333	0.428571	0.380952	0.473684	0.8	0.636842	0.357143	0.523077	0.44011	0.333333	0.552147	0.44274	0.419672	0.8	0.609836	0.357143	0.637255	0.497199	+	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Aqp5	-2.0713	-2.4145	-1.1396	0.465753	0.509305	0.487529	0.409276	0.488	0.448638	0.537037	0.554688	0.5458625	0.465753	0.522145	0.4967133333	0.434164	0.539326	0.4871633333	0.488889	0.554688	0.5263366667	+	3	EarlyVLowEstVLowLateLow	Orange	0.0004	0.00005	0.00725
Tnfsf18	2.0095	3.9231	0.0359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	17	EarlyUpEstablishedUpLateN	Purple	1	0.0022	0.9461
Cpa1	-1.6856	-1.5518	-2.0786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	4	AllVLow	Yellow	1	1	0.00095
Slpi	0.3614	0.6565	2.1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	0.3104	0.0051	0.00005
Mt2	1.7519	0.5669	2.4856	0.488506	0.6	0.544253	0.15	0.424731	0.2873655	0.3	0.502618	0.401309	0.527869	0.6	0.5639345	0.15	0.453039	0.3015195	0.3	0.604651	0.4523255	+	15	AllMildUp	SeaBlue	0.00005	0.0063	0.00005
Pcsk5	-1.1721	-1.822	-0.5663	0.444444	0.666667	0.5555555	0.181818	0.6875	0.434659	0.285714	0.428571	0.3571425	0.578947	0.666667	0.622807	0.181818	0.52	0.350909	0.285714	0.507692	0.396703	-	8	EarlyLowEstVLowLateLow	LightGreenUp	0.00005	0.00005	0.0072
Rbp1	1.3788	1.8618	1.3127	0	0.548193	0.3501516667	0.416667	0.666667	0.5147573333	0.384615	0.497462	0.4464066667	0.548193	0.548193	0.548193	0.416667	0.416667	0.416667	0.457143	0.457143	0.457143	+	15	AllMildUp	SeaBlue	0.00035	0.0013	0.00005
Fcer1g	0.4984	0.8311	1.6916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.32085	0.00245	0.0008
Gzmc	-1.0707	-0.7112	-1.6643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	6	AllLow	VeryLightGreen	0.00375	0.0006	0.00005
Sox10	0.3804	0.9942	1.5776	0.475214	0.711864	0.5796753333	0.196078	0.6	0.4061943333	0.515152	0.606557	0.546931	0.475214	0.475214	0.475214	0.422505	0.422505	0.422505	0.515152	0.515152	0.515152	-	10	EarlyNEstNLateUp	Petrol	0.1905	0.0023	0.0001
Oasl2	2.0079	2.6637	1.4129	0	0	0	0	0	0	0	0	0	0.510583	0.510583	0.510583	0.483073	0.483073	0.483073	0.517394	0.517394	0.517394	+	16	AllVUp	DarkPurple	0.00005	0.00005	0.00005
Macc1	0.913	2.6435	0.6629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	0.04745	0.00005	0.1227
Spock3	-0.2603	1.641	1.042	0.285714	0.520513	0.4483942	0	0.8125	0.464171	0	0.520042	0.397535	0.285714	0.37234	0.329027	0	0.405405	0.2027025	0	0.466667	0.2333335	+	12	EarlyNEstUpLateN	LightBlue	0.5084	0.00035	0.01675
Ccl11	3.9132	4.3621	4.5479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	18	AllVUp	Pink	0.00005	0.00005	0.00005
Cd55	1.4969	1.9181	1.8734	0.25	0.346154	0.298077	0	0.4	0.2	0.594595	0.769231	0.681913	0.25	0.266667	0.2583335	0	0.565217	0.2826085	0.651163	0.769231	0.710197	-	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Serpinb2	1.3636	2.1969	2.3623	0.497065	0.497065	0.497065	0.505076	0.505076	0.505076	0.493007	0.493007	0.493007	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0414	0.0003	0.00205
Kbtbd11	-0.0922	0.2484	2.3181	0.5	0.643192	0.5592931667	0.322034	0.488318	0.4266243333	0.3	0.590909	0.495786	0.6	0.6	0.6	0.322034	0.322034	0.322034	0.590909	0.590909	0.590909	+	10	EarlyNEstNLateUp	Petrol	0.82155	0.32245	0.00005
Adora2b	2.1359	1.9069	2.7821	0.510253	0.882353	0.696303	0.419776	0.555556	0.487666	0.556985	0.578947	0.567966	0.736842	0.882353	0.8095975	0.417808	0.555556	0.486682	0.578947	0.6125	0.5957235	+	16	AllVUp	DarkPurple	0.00015	0.00005	0.00005
Ddx4	-1.2483	-0.5919	-1.6264	0.421632	0.476082	0.448857	0.439474	0.512179	0.4758265	0.450233	0.497041	0.473637	0.421632	0.478261	0.4499465	0.462712	0.512179	0.4874455	0.441265	0.450233	0.445749	-	6	AllLow	VeryLightGreen	0.01015	0.25395	0.0004
Gas7	0.7809	1.1373	2.4986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.00235	0.00005	0.00005
Hcn1	2.2679	2.4515	2.6763	0.047619	0.607143	0.327381	0.21875	1	0.609375	0.4375	0.521739	0.4796195	0.047619	0.625	0.3363095	0.266667	1	0.6333335	0.395833	0.4375	0.4166665	+	16	AllVUp	DarkPurple	0.00005	0.0001	0.00005
Clec7a	1.1197	2.076	1.9467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	1	0.0008	1
AF251705	0.043	1.6897	1.5849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	12	EarlyNEstUpLateN	LightBlue	1	0.00005	0.17845
Mpz	1.502	2.6837	1.8226	0.545455	0.545455	0.545455	0.571429	0.571429	0.571429	0.590909	0.590909	0.590909	0.545455	1	0.74466	0.285714	0.571429	0.4419643333	0.568182	0.666667	0.608586	+	16	AllVUp	DarkPurple	0.0049	0.00005	0.0004
Arhgap30	0.2063	1.092	1.576	0.553846	0.553846	0.553846	0.444444	0.444444	0.444444	0.415094	0.415094	0.415094	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	1	0.0008	0.0016
Tlr2	1.1778	1.0733	1.6898	0.557377	0.833333	0.695355	0	0.485294	0.242647	0	0.584158	0.292079	0.546667	0.833333	0.69	0	0.289855	0.1449275	0	0.465517	0.2327585	-	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Rbm47	0.9614	1.5814	1.6602	0.467473	0.491582	0.4758626667	0.456522	0.509754	0.4862813333	0.469132	0.542077	0.5054546667	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.0395	0.00005	0.0002
Gm11128	-2.2282	-2.4212	-2.0431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	4	AllVLow	Yellow	0.15985	0.0042	0.0011
Ptprz1	1.7475	2.233	1.1513	0.578947	0.6	0.5894735	0.636364	0.636364	0.636364	0.333333	1	0.6666665	0.564767	0.6	0.5823835	0.483871	0.636364	0.5601175	0.629139	1	0.8145695	+	12	EarlyNEstUpLateN	LightBlue	0.0005	0.00005	0.00955
1500015O10Rik	-1.6651	-0.9927	-0.7385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	0.00005	0.00005	0.00005
Ankrd33b	1.4209	2.6657	1.9484	0.451613	0.495726	0.4736695	0.378378	0.521739	0.4500585	0.537037	0.631579	0.584308	0.451613	0.628931	0.540272	0.382979	0.521739	0.452359	0.631579	0.636364	0.6339715	-	16	AllVUp	DarkPurple	0.0474	0.00005	1
Phyhip	-0.0253	-2.4437	-0.4355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	8	EarlyLowEstVLowLateLow	LightGreenUp	1	0.00025	1
Coro2a	0.0539	0.361	1.9866	0.52983	0.590909	0.5528546667	0.318182	0.42885	0.3792376667	0.527828	0.703704	0.6199123333	0.488	0.590909	0.5394545	0.318182	0.492754	0.405468	0.382353	0.703704	0.5430285	-	10	EarlyNEstNLateUp	Petrol	1	0.3599	0.0002
Thsd4	-0.1625	-1.0275	1.6394	0.412896	0.455266	0.4376633333	0.489115	0.526518	0.5086773333	0.403571	0.446746	0.4298776667	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	0.67005	0.00245	0.00005
Vipr2	-1.7631	0.7023	-0.7066	0.465517	0.5	0.4827585	0.26087	0.43617	0.34852	0.384615	0.461538	0.4230765	0.459459	0.5	0.4797295	0.26087	0.470588	0.365729	0.384615	0.658824	0.5217195	+	7	EarlyLowEstNLateLow	LightGreen	0.0001	0.0801	0.0818
Dusp6	0.7364	1.8452	0.4624	0.45935	0.509434	0.484392	0.413793	0.486943	0.450368	0.469388	0.47601	0.472699	0.508634	0.509434	0.509034	0.333333	0.413793	0.373563	0.469388	0.598916	0.534152	+	12	EarlyNEstUpLateN	LightBlue	0.00225	0.00005	0.0231
Chl1	-0.9048	-1.6307	3.7237	0.4	0.636364	0.4764473333	0.25	0.596939	0.5002238889	0.469484	0.716667	0.5358783333	0.461538	0.461538	0.461538	0.5625	0.5625	0.5625	0.5	0.5	0.5	+	9	EarlyLEstLLateVeryUp	Turquoise	0.0011	0.00005	0.00005
Car2	0.2109	0.5333	2.1838	0.5	0.512727	0.5063635	0.315789	0.448763	0.382276	0.595166	0.684211	0.6396885	0.407407	0.5	0.4537035	0.315789	0.5	0.4078945	0.588235	0.684211	0.636223	+	10	EarlyNEstNLateUp	Petrol	0.6217	0.14895	0.00075
Wt1	-1.2426	-2.5416	1.2039	0.418605	0.672414	0.531564375	0.266667	0.666667	0.48350625	0.166667	0.526316	0.377799625	0.555556	0.672414	0.6279026667	0.266667	0.5	0.3953406667	0.166667	0.396226	0.2542976667	+	8	EarlyLowEstVLowLateLow	LightGreenUp	1	0.00005	0.0505
Cdh5	-0.2578	-2.5114	2.2666	0.452171	0.500891	0.4786306667	0.463062	0.553411	0.5090986667	0.42625	0.525049	0.459758	0	0	0	0	0	0	0	0	0	+	9	EarlyLEstLLateVeryUp	Turquoise	1	0.00005	1
Oas2	2.8503	2.1503	1.9126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	0.0002	0.0002	0.0008
Apol9b	0.9573	2.1209	0.6524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	0.01645	0.00005	0.037
Kazald1	-1.6236	-1.1137	-1.3767	0.522727	1	0.6348398	0.133333	0.47619	0.36525	0.333333	0.576613	0.4801556	0.424242	0.769231	0.56655	0.346939	0.727273	0.48987325	0.387097	0.6	0.4823685	+	6	AllLow	VeryLightGreen	0.0003	0.0054	0.00005
Dusp5	0.4041	1.8855	0.0159	0.428571	0.536585	0.4941146	0.238095	0.488095	0.411144	0.333333	0.615385	0.520604	0.428571	0.520408	0.4698843333	0.238095	0.410596	0.3452626667	0.333333	0.485876	0.430373	+	12	EarlyNEstUpLateN	LightBlue	0.1992	0.00005	0.9497
Fcgr2b	0.524	1.9558	2.653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.33095	0.00005	0.0002
Fpr1	0.4909	3.0755	1.1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	12	EarlyNEstUpLateN	LightBlue	1	0.0001	0.09745
Irf7	1.0706	1.79	0.8064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	12	EarlyNEstUpLateN	LightBlue	0.0005	0.00005	0.00035
Shank1	-1.8223	-1.9157	-0.9651	0.318182	0.7	0.4920292	0.230769	0.6875	0.4420693333	0.2	0.640449	0.4353296667	0.318182	0.58	0.473601	0.285714	0.612245	0.4413173333	0.373134	0.571429	0.4720473333	+	4	AllVLow	Yellow	0.00005	0.00005	0.0003
Ccl5	3.8317	2.4322	3.6488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	18	AllVUp	Pink	0.00005	0.00005	0.00005
Cdhr1	1.379	1.9141	2.5328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.00015	0.00005	0.00005
Bdkrb1	-0.2227	-0.1012	1.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.62805	0.7734	0.00025
Tmem35	1.2258	1.5539	1.5519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.00165	0.0006	0.00005
Pdgfb	0.9736	0.477	1.7704	0.465679	0.58209	0.5205483333	0.382979	0.454697	0.4148408333	0.388889	0.57485	0.4985983333	0.481481	0.481481	0.481481	0.421053	0.421053	0.421053	0.55814	0.55814	0.55814	-	15	AllMildUp	SeaBlue	0.0024	0.0712	0.00005
Gpr88	-1.7743	-2.679	-0.8099	0.310345	0.555831	0.455392	0.327586	0.705882	0.495381	0.217391	0.623016	0.4277546667	0.5	0.5	0.5	0.327586	0.327586	0.327586	0.442857	0.442857	0.442857	-	3	EarlyVLowEstVLowLateLow	Orange	0.00005	0.00005	0.0009
H2-K1	1.966	0.5396	2.6308	0.56	0.68	0.62	0.37037	0.462687	0.4165285	0.554054	0.557692	0.555873	0.56	0.625	0.5925	0.258065	0.462687	0.360376	0.542857	0.554054	0.5484555	-	15	AllMildUp	SeaBlue	0.00005	0.0058	0.00005
Igfbp3	0.6093	1.521	1.7094	0.457143	0.5	0.4785715	0.411765	0.454545	0.433155	0.603774	0.636364	0.620069	0.5	0.702703	0.6013515	0.411765	0.545455	0.47861	0.457143	0.636364	0.5467535	-	12	EarlyNEstUpLateN	LightBlue	0.0064	0.00005	0.00005
Gm13889	-1.7869	-1.4784	-1.5142	0.266667	0.47973	0.3731985	0.389744	0.555556	0.47265	0.517241	0.538813	0.528027	0.266667	0.602151	0.434409	0.454545	0.555556	0.5050505	0.338983	0.517241	0.428112	-	4	AllVLow	Yellow	0.00285	0.0037	0.00015
Fbxo2	-1.2633	-1.9264	-0.5808	0.166667	0.846154	0.5067774	0.266667	0.467949	0.4038788	0.235294	0.8	0.5409948	0.166667	0.477124	0.3218955	0.266667	0.354949	0.310808	0.235294	0.614286	0.42479	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.02305	0.00195	0.0993
Pde9a	-0.524	-1.4517	1.7963	0.465909	0.571429	0.518669	0.473684	0.578125	0.5259045	0.333333	0.573529	0.453431	0.506024	0.571429	0.5387265	0.473684	0.564417	0.5190505	0.333333	0.465686	0.3995095	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.29015	0.00295	0.0006
Gzmb	-2.8288	-2.0715	-2.8467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Ccl2	2.4743	1.8988	3.0899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	16	AllVUp	DarkPurple	0.00005	0.00005	0.00005
0610040J01Rik	-0.6325	-2.0616	-0.6077	0	0.397924	0.198962	0.490476	0.777778	0.634127	0.524887	0.571429	0.548158	0	0.431373	0.2156865	0.38	0.777778	0.578889	0.459459	0.571429	0.515444	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.2469	0.00005	0.18975

